,Unnamed: 0,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Area
220,220,S&P Global,, 1888,"New York, NY",Financial Analytics & Research,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (SPGI) ,Finance
221,221,Mercer,, 1945,"New York, NY",Consulting,,Marsh & McLennan Companies, $2 to $5 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Goods & Svcs
222,222,Strategic Financial Solutions,, 2007,"New York, NY",Financial Analytics & Research,,, Unknown / Non-Applicable,501 to 1000 employees, Company - Private,Finance
223,223,Burlington Stores,, 1972,"Burlington, NJ","Department, Clothing, & Shoe Stores",,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (BURL) ,Fashion/Retail
224,224,United Airlines,, 1926,"Chicago, IL",Airlines,,, $10+ billion (USD) per year,10000+ employees, Company - Public (UAL) ,Goods & Svcs
225,225,S&P Global Market Intelligence,, 2004,"New York, NY",Investment Banking & Asset Management,,S&P Global, Unknown / Non-Applicable,10000+ employees, Subsidiary or Business Segment,Finance
226,226,Compass, Unknown, 2012,"New York, NY",Enterprise Software & Network Solutions,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Private,Technology
227,227,Fordham University, Unknown, 1841,"Bronx, NY",Colleges & Universities,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, College / University,Education
228,228,New York & Company, Unknown, 2002,"New York, NY","Department, Clothing, & Shoe Stores",,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Company - Public (NWY) ,Fashion/Retail
229,229,Frank Recruitment Group,, 2006,"Newcastle upon Tyne, England (UK)",Staffing & Outsourcing,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,Goods & Svcs
230,230,Pace University, Unknown, 1948,"New York, NY",Colleges & Universities,,, $100 to $500 million (USD) per year,1001 to 5000 employees, College / University,Education
231,231,AECOM," Bechtel, ABB, SNC-Lavalin", 1990,"Los Angeles, CA",Architectural & Engineering Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ACM) ,Goods & Svcs
232,232,Spectrum,, 2016,"Stamford, CT","Cable, Internet & Telephone Providers",,, Unknown / Non-Applicable,Unknown, Subsidiary or Business Segment,Technology
233,233,FactSet,, 1978,"Norwalk, CT",Financial Analytics & Research,,, $1 to $2 billion (USD) per year,5001 to 10000 employees, Company - Public (FDS) ,Finance
234,234,Dun & Bradstreet,, 1841,Dubai (United Arab Emirates),IT Services,,, $1 to $2 billion (USD) per year,51 to 200 employees, Company - Private,Technology
235,235,Costco Wholesale," Sam's Club, BJ's Wholesale Club", 1976,"Issaquah, WA",General Merchandise & Superstores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (COST) ,Goods & Svcs
236,236,Avaya," Cisco Systems, Mitel Networks, RingCentral", 2000,"Santa Clara, CA",Telecommunications Services,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Company - Public (AVYA) ,Technology
237,237,RB, Unknown, 1823,"Slough, Berkshire, South East England, England (UK)",Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (RB) ,Goods & Svcs
238,238,Guardian Life,, 1860,"New York, NY",Insurance Carriers,,, $5 to $10 billion (USD) per year,5001 to 10000 employees, Company - Private,Finance
239,239,SiriusXM, Unknown, 1990,"New York, NY",Radio,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Public (SIRI) ,Entertainment
240,240,Coty," L'Oréal, Estée Lauder Companies, Elizabeth Arden", 1904,"London, England (UK)",Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (COTY) ,Goods & Svcs
241,241,New School, Unknown, 1919,"New York, NY",Colleges & Universities,,, $100 to $500 million (USD) per year,1001 to 5000 employees, College / University,Education
242,242,Jefferies, Unknown, 1962,"New York, NY",Investment Banking & Asset Management,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Public (LN3) ,Finance
243,243,YAI - Seeing beyond disability, Unknown, 1957,"New York, NY",Social Assistance,,, $100 to $500 million (USD) per year,5001 to 10000 employees, Nonprofit Organization,Govnt/Utilities
244,244,Mavis Discount Tire,, 1972,"Millwood, NY",Automotive Parts & Accessories Stores,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,Goods & Svcs
245,245,NIKE," adidas, Under Armour, lululemon", 1972,"Beaverton, OR",Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (NKE) ,Goods & Svcs
