,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Website,Link
10,Cognizant Technology Solutions," Tata Consultancy Services, Accenture, Capgemini", 1994,"Teaneck, NJ", Unknown,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CTSH) ,www.cognizant.com,"https://www.glassdoor.com/Overview/Working-at-Cognizant-Technology-Solutions-EI_IE8014.11,41.htm"
11,Bloomberg L.P.,, 1981,"New York, NY", Computer Hardware & Software,,, Unknown / Non-Applicable,10000+ employees, Company - Private,www.bloomberg.com,"https://www.glassdoor.com/Overview/Working-at-Bloomberg-L-P-EI_IE3096.11,24.htm"
12,Bank of America,, 1904,"Charlotte, NC", Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BAC) ,www.bankofamerica.com,"https://www.glassdoor.com/Overview/Working-at-Bank-of-America-EI_IE8874.11,26.htm"
13,American Express,, 1850,"New York, NY", Financial Transaction Processing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AXP) ,www.americanexpress.com,"https://www.glassdoor.com/Overview/Working-at-American-Express-EI_IE35.11,27.htm"
14,Columbia University, Unknown, 1938,"New York, NY", Colleges & Universities,,, $2 to $5 billion (USD) per year,10000+ employees, College / University,www.columbia.edu,"https://www.glassdoor.com/Overview/Working-at-Columbia-University-EI_IE2748.11,30.htm"
15,AIG,, 1919,"New York, NY", Insurance Carriers,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AIG) ,www.aig.com,"https://www.glassdoor.com/Overview/Working-at-AIG-EI_IE40.11,14.htm"
16,New York City Department of Education, Unknown, 1970,"New York, NY", Municipal Governments,,, $10+ billion (USD) per year,10000+ employees, Government,schools.nyc.gov,"https://www.glassdoor.com/Overview/Working-at-New-York-City-Department-of-Education-EI_IE105247.11,48.htm"
17,NYU (New York University), Unknown, 1831,"New York, NY", Colleges & Universities,,, $5 to $10 billion (USD) per year,10000+ employees, College / University,www.nyu.edu/about/working-at-nyu.html,"https://www.glassdoor.com/Overview/Working-at-NYU-New-York-University-EI_IE2917.11,34.htm"
18,KPMG," PwC, Deloitte, EY", 1987,"New York, NY", Accounting,,, $2 to $5 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,us-jobs.kpmg.com,"https://www.glassdoor.com/Overview/Working-at-KPMG-EI_IE2867.11,15.htm"
19,Viacom,, 1971,"New York, NY", Motion Picture Production & Distribution,,, $10+ billion (USD) per year,5001 to 10000 employees, Company - Public (VIA) ,www.viacom.com,"https://www.glassdoor.com/Overview/Working-at-Viacom-EI_IE40260.11,17.htm"
20,Rutgers University, Unknown, 1766,"Piscataway, NJ", Colleges & Universities,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, College / University,www.rutgers.edu,"https://www.glassdoor.com/Overview/Working-at-Rutgers-University-EI_IE22285.11,29.htm"
21,Johnson & Johnson,, 1887,"New Brunswick, NJ", Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (JNJ) ,www.jnj.com,"https://www.glassdoor.com/Overview/Working-at-Johnson-and-Johnson-EI_IE364.11,30.htm"
22,UBS,, 1862,Zürich (Switzerland), Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (UBS) ,www.ubs.com,"https://www.glassdoor.com/Overview/Working-at-UBS-EI_IE3419.11,14.htm"
23,Target,, 1962,"Minneapolis, MN", General Merchandise & Superstores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (TGT) ,www.target.com,"https://www.glassdoor.com/Overview/Working-at-Target-EI_IE194.11,17.htm"
24,Credit Suisse,, 1856,Zürich (Switzerland), Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CS) ,www.credit-suisse.com,"https://www.glassdoor.com/Overview/Working-at-Credit-Suisse-EI_IE3141.11,24.htm"
25,Thomson Reuters,, 2008,"Toronto, ON (Canada)", Enterprise Software & Network Solutions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (TRI) ,www.thomsonreuters.com,"https://www.glassdoor.com/Overview/Working-at-Thomson-Reuters-EI_IE100303.11,26.htm"
26,Starbucks," Dunkin' Brands, McDonald's", 1971,"Seattle, WA", Fast-Food & Quick-Service Restaurants,,, $10+ billion (USD) per year,10000+ employees, Company - Public (SBUX) ,www.starbucks.com,"https://www.glassdoor.com/Overview/Working-at-Starbucks-EI_IE2202.11,20.htm"
27,Barclays,, 1690,"London, England (UK)", Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BARC) ,www.home.barclays,"https://www.glassdoor.com/Overview/Working-at-Barclays-EI_IE3456.11,19.htm"
28,AT&T,, 1983,"Dallas, TX", Telecommunications Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (T) ,www.att.jobs,"https://www.glassdoor.com/Overview/Working-at-AT-and-T-EI_IE613.11,19.htm"
29,BNY Mellon,, 1784,"New York, NY", Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BK) ,www.bnymellon.com,"https://www.glassdoor.com/Overview/Working-at-BNY-Mellon-EI_IE78.11,21.htm"
30,The Home Depot,, 1978,"Atlanta, GA",,,, $10+ billion (USD) per year,10000+ employees, Company - Public (HD) ,www.homedepot.com,"https://www.glassdoor.com/Overview/Working-at-The-Home-Depot-EI_IE655.11,25.htm"
31,Mount Sinai Health System, Unknown, 2013,"New York, NY", Health Care Services & Hospitals,,, $1 to $2 billion (USD) per year,10000+ employees, Hospital,www.mountsinai.org,"https://www.glassdoor.com/Overview/Working-at-Mount-Sinai-Health-System-EI_IE121517.11,36.htm"
32,CVS Health,, 1963,"Woonsocket, RI", Health Care Services & Hospitals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CVS) ,jobs.cvshealth.com,"https://www.glassdoor.com/Overview/Working-at-CVS-Health-EI_IE437.11,21.htm"
33,Deutsche Bank,, 1870,Frankfurt am Main (Germany), Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (DB) ,www.db.com,"https://www.glassdoor.com/Overview/Working-at-Deutsche-Bank-EI_IE3150.11,24.htm"
34,Apple," Google, Microsoft, Samsung Electronics", 1976,"Cupertino, CA", Computer Hardware & Software,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AAPL) ,www.apple.com,"https://www.glassdoor.com/Overview/Working-at-Apple-EI_IE1138.11,16.htm"
35,Accenture,, 1989,"Dublin, Co. Dublin (Ireland)", Consulting,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ACN) ,www.accenture.com,"https://www.glassdoor.com/Overview/Working-at-Accenture-EI_IE4138.11,20.htm"
36,NBCUniversal, Unknown, 1906,"New York, NY", TV Broadcast & Cable Networks,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CMCSA) ,www.nbcuni.com,"https://www.glassdoor.com/Overview/Working-at-NBCUniversal-EI_IE32038.11,23.htm"
37,Northwell Health,, 1997,"Lake Success, NY", Health Care Services & Hospitals,,, $10+ billion (USD) per year,10000+ employees, Nonprofit Organization,jobs.northwell.edu,"https://www.glassdoor.com/Overview/Working-at-Northwell-Health-EI_IE1142964.11,27.htm"
38,NewYork-Presbyterian Hospital,, 1998,"New York, NY", Health Care Services & Hospitals,,, Unknown / Non-Applicable,10000+ employees, Hospital,www.nyp.org,"https://www.glassdoor.com/Overview/Working-at-NewYork-Presbyterian-Hospital-EI_IE121522.11,40.htm"
39,Memorial Sloan Kettering,, 1884,"New York, NY", Health Care Services & Hospitals,,, $2 to $5 billion (USD) per year,10000+ employees, Nonprofit Organization,www.mskcc.org,"https://www.glassdoor.com/Overview/Working-at-Memorial-Sloan-Kettering-EI_IE4711.11,35.htm"
40,UPS,, 1907,"Atlanta, GA", Logistics & Supply Chain,,, $10+ billion (USD) per year,10000+ employees, Company - Public (UPS) ,www.upsjobs.com,"https://www.glassdoor.com/Overview/Working-at-UPS-EI_IE3012.11,14.htm"
41,Best Buy,, 1966,"Richfield, MN", Consumer Electronics & Appliances Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BBY) ,www.bestbuy.com,"https://www.glassdoor.com/Overview/Working-at-Best-Buy-EI_IE97.11,19.htm"
